Date,Description,Card Member,Account #,Amount,Category
04/29/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,10.75,Travel
04/29/2026,STAPLES ATLANTA,MARCUS HALLORAN,-8044,70.44,Office Supplies
04/28/2026,USPS,MARCUS HALLORAN,-8044,12.83,Shipping
04/25/2026,NOTION LABS,MARCUS HALLORAN,-8044,10.00,Software
04/24/2026,MARRIOTT HOTELS,MARCUS HALLORAN,-8044,289.50,Lodging
04/23/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,61.40,Shipping
04/21/2026,UPS STORE,MARCUS HALLORAN,-8044,31.20,Shipping
04/21/2026,LINKEDIN PREMIUM,MARCUS HALLORAN,-8044,39.99,Software
04/19/2026,AUTOPAY THANK YOU - CHASE INK BUSINESS,MARCUS HALLORAN,-8044,-2203.65,Payment
04/18/2026,UPS STORE,MARCUS HALLORAN,-8044,19.70,Shipping
04/18/2026,CANVA PRO,MARCUS HALLORAN,-8044,12.99,Software
04/17/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,27.17,Shipping
04/16/2026,MARRIOTT HOTELS,MARCUS HALLORAN,-8044,188.84,Lodging
04/15/2026,USPS,MARCUS HALLORAN,-8044,18.06,Shipping
04/15/2026,AMZN MKTP US,MARCUS HALLORAN,-8044,86.94,Office Supplies
04/15/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,24.21,Travel
04/14/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,31.54,Shipping
04/14/2026,DROPBOX BUSINESS,MARCUS HALLORAN,-8044,16.58,Software
04/13/2026,USPS,MARCUS HALLORAN,-8044,16.01,Shipping
04/12/2026,UPS STORE,MARCUS HALLORAN,-8044,21.58,Shipping
04/11/2026,AMZN MKTP US,MARCUS HALLORAN,-8044,139.00,Office Supplies
04/11/2026,GOOGLE WORKSPACE,MARCUS HALLORAN,-8044,14.40,Software
04/09/2026,ZOOM VIDEO,MARCUS HALLORAN,-8044,15.99,Software
04/08/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,8.88,Travel
04/08/2026,FIGMA INC,MARCUS HALLORAN,-8044,15.00,Software
04/05/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,58.89,Shipping
04/05/2026,USPS,MARCUS HALLORAN,-8044,15.16,Shipping
04/04/2026,UBER FOR BUSINESS,MARCUS HALLORAN,-8044,47.01,Travel
04/04/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,30.78,Travel
04/04/2026,ADOBE CREATIVE CLOUD,MARCUS HALLORAN,-8044,59.99,Software
